国家/地区,业务状态,负责人,更新时间,备注
Afghanistan,暂未进入,,-,暂未进入
Albania,暂未进入,,-,暂未进入
Algeria,暂未进入,,-,暂未进入
American Samoa,暂未进入,,-,暂未进入
Andorra,暂未进入,,-,暂未进入
Angola,规划评估中,战略评估组,2026-07-03,市场与合规评估
Anguilla,暂未进入,,-,暂未进入
Antarctica,暂未进入,,-,暂未进入
Antigua and Barb.,暂未进入,,-,暂未进入
Argentina,规划评估中,战略评估组,2026-07-03,市场与合规评估
Armenia,暂未进入,,-,暂未进入
Aruba,暂未进入,,-,暂未进入
Ashmore and Cartier Is.,暂未进入,,-,暂未进入
Australia,合规洽谈中,商务拓展团队,2026-08-12,客户接洽/协议推进中
Austria,规划评估中,战略评估组,2026-07-03,市场与合规评估
Azerbaijan,规划评估中,战略评估组,2026-07-03,市场与合规评估
Bahamas,暂未进入,,-,暂未进入
Bahrain,暂未进入,,-,暂未进入
Bangladesh,规划评估中,战略评估组,2026-07-03,市场与合规评估
Barbados,暂未进入,,-,暂未进入
Belarus,暂未进入,,-,暂未进入
Belgium,规划评估中,战略评估组,2026-07-03,市场与合规评估
Belize,暂未进入,,-,暂未进入
Benin,暂未进入,,-,暂未进入
Bermuda,暂未进入,,-,暂未进入
Bhutan,暂未进入,,-,暂未进入
Bolivia,规划评估中,战略评估组,2026-07-03,市场与合规评估
Bosnia and Herz.,暂未进入,,-,暂未进入
Botswana,暂未进入,,-,暂未进入
Br. Indian Ocean Ter.,暂未进入,,-,暂未进入
Brazil,已合规上线,区域运营团队,2026-08-27,已落地运营，合规就绪
British Virgin Is.,暂未进入,,-,暂未进入
Brunei,暂未进入,,-,暂未进入
Bulgaria,暂未进入,,-,暂未进入
Burkina Faso,暂未进入,,-,暂未进入
Burundi,暂未进入,,-,暂未进入
Cabo Verde,暂未进入,,-,暂未进入
Cambodia,合规洽谈中,商务拓展团队,2026-08-12,客户接洽/协议推进中
Cameroon,暂未进入,,-,暂未进入
Canada,合规洽谈中,商务拓展团队,2026-08-12,客户接洽/协议推进中
Cayman Is.,暂未进入,,-,暂未进入
Central African Rep.,暂未进入,,-,暂未进入
Chad,暂未进入,,-,暂未进入
Chile,合规洽谈中,商务拓展团队,2026-08-12,客户接洽/协议推进中
China,暂未进入,,-,暂未进入
Colombia,合规洽谈中,商务拓展团队,2026-08-12,客户接洽/协议推进中
Comoros,暂未进入,,-,暂未进入
Congo,暂未进入,,-,暂未进入
Cook Is.,暂未进入,,-,暂未进入
Costa Rica,规划评估中,战略评估组,2026-07-03,市场与合规评估
Croatia,暂未进入,,-,暂未进入
Cuba,暂未进入,,-,暂未进入
Curaçao,暂未进入,,-,暂未进入
Cyprus,暂未进入,,-,暂未进入
Czechia,规划评估中,战略评估组,2026-07-03,市场与合规评估
Côte d'Ivoire,暂未进入,,-,暂未进入
Dem. Rep. Congo,暂未进入,,-,暂未进入
Denmark,规划评估中,战略评估组,2026-07-03,市场与合规评估
Djibouti,暂未进入,,-,暂未进入
Dominica,暂未进入,,-,暂未进入
Dominican Rep.,暂未进入,,-,暂未进入
Ecuador,规划评估中,战略评估组,2026-07-03,市场与合规评估
Egypt,合规洽谈中,商务拓展团队,2026-08-12,客户接洽/协议推进中
El Salvador,暂未进入,,-,暂未进入
Eq. Guinea,暂未进入,,-,暂未进入
Eritrea,暂未进入,,-,暂未进入
Estonia,暂未进入,,-,暂未进入
Ethiopia,规划评估中,战略评估组,2026-07-03,市场与合规评估
Faeroe Is.,暂未进入,,-,暂未进入
Falkland Is.,暂未进入,,-,暂未进入
Fiji,暂未进入,,-,暂未进入
Finland,规划评估中,战略评估组,2026-07-03,市场与合规评估
Fr. Polynesia,暂未进入,,-,暂未进入
Fr. S. Antarctic Lands,暂未进入,,-,暂未进入
France,合规洽谈中,商务拓展团队,2026-08-12,客户接洽/协议推进中
Gabon,暂未进入,,-,暂未进入
Gambia,暂未进入,,-,暂未进入
Georgia,规划评估中,战略评估组,2026-07-03,市场与合规评估
Germany,合规洽谈中,商务拓展团队,2026-08-12,客户接洽/协议推进中
Ghana,规划评估中,战略评估组,2026-07-03,市场与合规评估
Greece,规划评估中,战略评估组,2026-07-03,市场与合规评估
Greenland,暂未进入,,-,暂未进入
